nome_fonte,distrito,telefone_remume,logradouro,bairro,cep,lat,lng,conferido_por,conferido_em,nota
Extensão Colonial: SÃO MARCOS,Distrito 1,,,,,,,,,a REMUME traz 'UBS São Marcos' (3445-8452); confirmar se a extensão tem telefone próprio
Extensão Sangão: SÃO ROQUE,Distrito 5,,,,,,,,,a REMUME traz 'UBS São Roque' (3445-8487); confirmar se a extensão tem telefone próprio
UNIDADE BASICA DE SAUDE ANA MARIA,Distrito 4,3445-8450,,,,,,,,
UNIDADE BASICA DE SAUDE ARGENTINA,Distrito 2,3445-8451,,,,,,,,
UNIDADE BASICA DE SAUDE BOA VISTA,Distrito 5,,,,,,,,,
UNIDADE BASICA DE SAUDE BRASILIA,Distrito 2,3462-1340,,,,,,,,
UNIDADE BASICA DE SAUDE CENTRO,Distrito 2,,,,,,,,,
UNIDADE BASICA DE SAUDE CENTRO SOCIAL URBANO,Distrito 4,,,,,,,,,a REMUME chama de 'UBS CSU' (3445-8456); confirmar que é a mesma
UNIDADE BASICA DE SAUDE CIDADE MINEIRA NOVA (Mineiras),Distrito 1,,,,,,,,,a REMUME traz um único telefone para 'UBS Mineiras' (3445-8454) e existem duas UBS Mineiras
UNIDADE BASICA DE SAUDE CIDADE MINEIRA VELHA (Mineiras),Distrito 1,,,,,,,,,a REMUME traz um único telefone para 'UBS Mineiras' (3445-8454) e existem duas UBS Mineiras
UNIDADE BASICA DE SAUDE COLONIAL,Distrito 1,3439-8561,,,,,,,,
UNIDADE BASICA DE SAUDE CRISTO REDENTOR,Distrito 4,3445-8455,,,,,,,,
UNIDADE BASICA DE SAUDE DE SANGAO,Distrito 5,3445-8486,,,,,,,,
UNIDADE BASICA DE SAUDE DE VERDINHO,Distrito 5,3445-8485,,,,,,,,
UNIDADE BASICA DE SAUDE LARANJINHA,Distrito 1,3445-8457,,,,,,,,
UNIDADE BASICA DE SAUDE LINHA ANTA,Distrito 4,,,,,,,,,
UNIDADE BASICA DE SAUDE LINHA BATISTA,Distrito 4,3445-8478,,,,,,,,
UNIDADE BASICA DE SAUDE MAE LUZIA,Distrito 3,3445-8458,,,,,,,,
UNIDADE BASICA DE SAUDE MARIA CEU,Distrito 2,3438-0727,,,,,,,,
UNIDADE BASICA DE SAUDE METROPOL,Distrito 1,3445-8483,,,,,,,,
UNIDADE BASICA DE SAUDE MILANESE,Distrito 6,3445-8422,,,,,,,,
UNIDADE BASICA DE SAUDE MINA DO MATO,Distrito 2,,,,,,,,,
UNIDADE BASICA DE SAUDE MINA DO TOCO,Distrito 2,,,,,,,,,
UNIDADE BASICA DE SAUDE MINA UNIAO,Distrito 3,3445-8482,,,,,,,,
UNIDADE BASICA DE SAUDE MORRO ESTEVAO,Distrito 5,3461-8450,,,,,,,,
UNIDADE BASICA DE SAUDE NOSSA SENHORA DA SALETE,Distrito 4,,,,,,,,,
UNIDADE BASICA DE SAUDE NOVA ESPERANCA,Distrito 3,3445-8472,,,,,,,,
UNIDADE BASICA DE SAUDE OPERARIA NOVA,Distrito 2,3437-9705,,,,,,,,
UNIDADE BASICA DE SAUDE PARAISO TEREZA CRISTINA,Distrito 5,,,,,,,,,a REMUME chama de 'UBS Paraíso' (3445-8480); confirmar que é a mesma
UNIDADE BASICA DE SAUDE PINHEIRINHO,Distrito 6,,,,,,,,,"a REMUME traz 3445-8846 e 3437-0919, mas em coluna quebrada; conferir os dois no PDF"
UNIDADE BASICA DE SAUDE PRIMEIRA LINHA,Distrito 6,3445-8404,,,,,,,,
UNIDADE BASICA DE SAUDE PROSPERA,Distrito 4,,,,,,,,,
UNIDADE BASICA DE SAUDE QUARTA LINHA,Distrito 5,,,,,,,,,
UNIDADE BASICA DE SAUDE RENASCER MINA QUATRO,Distrito 6,,,,,,,,,a REMUME chama de 'UBS Renascer' (3445-8460); confirmar que é a mesma
UNIDADE BASICA DE SAUDE SANTA AUGUSTA,Distrito 5,3445-8465,,,,,,,,
UNIDADE BASICA DE SAUDE SANTA BARBARA,Distrito 6,,,,,,,,,
UNIDADE BASICA DE SAUDE SANTA LUZIA,Distrito 3,,,,,,,,,
UNIDADE BASICA DE SAUDE SANTO ANTONIO,Distrito 6,3445-8467,,,,,,,,
UNIDADE BASICA DE SAUDE SAO DEFENDE,Distrito 3,3445-8469,,,,,,,,
UNIDADE BASICA DE SAUDE SAO LUIZ,Distrito 6,3445-8462,,,,,,,,
UNIDADE BASICA DE SAUDE SAO SEBASTIAO,Distrito 3,,,,,,,,,
UNIDADE BASICA DE SAUDE SAO SIMAO,Distrito 2,3445-8471,,,,,,,,
UNIDADE BASICA DE SAUDE VILA BELMIRO,Distrito 3,3445-8489,,,,,,,,
UNIDADE BASICA DE SAUDE VILA FRANCESA,Distrito 1,,,,,,,,,
UNIDADE BASICA DE SAUDE VILA MANAUS,Distrito 3,3445-8479,,,,,,,,
UNIDADE BASICA DE SAUDE VILA RICA IMIGRANTES,Distrito 4,,,,,,,,,
UNIDADE BASICA DE SAUDE VILA ZULEIMA,Distrito 1,,,,,,,,,
UNIDADE BASICA DE SAUDE WOSOCRIS,Distrito 1,,,,,,,,,
